id_estacion,hour,weekNumber,dayOfWeek,lat,long,num_bikes_available
3.0,20,38,4,-34.611032,-58.3682604,0.0
3.0,20,38,5,-34.611032,-58.3682604,0.0
3.0,21,38,0,-34.611032,-58.3682604,0.0
3.0,21,38,1,-34.611032,-58.3682604,0.0
3.0,21,38,2,-34.611032,-58.3682604,0.0
3.0,21,38,3,-34.611032,-58.3682604,0.0
3.0,21,38,4,-34.611032,-58.3682604,0.0
3.0,21,38,5,-34.611032,-58.3682604,0.0
3.0,22,38,0,-34.611032,-58.3682604,0.0
3.0,22,38,1,-34.611032,-58.3682604,0.0
3.0,22,38,2,-34.611032,-58.3682604,0.0
3.0,22,38,3,-34.611032,-58.3682604,0.0
3.0,22,38,4,-34.611032,-58.3682604,0.0
3.0,22,38,5,-34.611032,-58.3682604,0.0
3.0,23,38,0,-34.611032,-58.3682604,1.0
3.0,23,38,1,-34.611032,-58.3682604,2.0
3.0,23,38,2,-34.611032,-58.3682604,0.0
3.0,23,38,3,-34.611032,-58.3682604,1.0
3.0,23,38,4,-34.611032,-58.3682604,0.0
3.0,23,38,5,-34.611032,-58.3682604,1.0
4.0,0,38,0,-34.6017255,-58.368762800000006,0.0
4.0,0,38,1,-34.6017255,-58.368762800000006,0.0
4.0,0,38,2,-34.6017255,-58.368762800000006,14.0
4.0,0,38,3,-34.6017255,-58.368762800000006,0.0
4.0,0,38,4,-34.6017255,-58.368762800000006,0.0
4.0,0,38,5,-34.6017255,-58.368762800000006,0.0
4.0,0,38,6,-34.6017255,-58.368762800000006,1.0
4.0,1,38,0,-34.6017255,-58.368762800000006,1.0
4.0,1,38,1,-34.6017255,-58.368762800000006,0.0
4.0,1,38,2,-34.6017255,-58.368762800000006,14.0
4.0,1,38,3,-34.6017255,-58.368762800000006,0.0
4.0,1,38,4,-34.6017255,-58.368762800000006,0.0
4.0,1,38,5,-34.6017255,-58.368762800000006,0.0
4.0,1,38,6,-34.6017255,-58.368762800000006,1.0
4.0,2,38,0,-34.6017255,-58.368762800000006,2.0
4.0,2,38,1,-34.6017255,-58.368762800000006,0.0
4.0,2,38,2,-34.6017255,-58.368762800000006,14.0
4.0,2,38,3,-34.6017255,-58.368762800000006,0.0
4.0,2,38,4,-34.6017255,-58.368762800000006,0.0
4.0,2,38,5,-34.6017255,-58.368762800000006,0.0
4.0,2,38,6,-34.6017255,-58.368762800000006,1.0
4.0,3,38,0,-34.6017255,-58.368762800000006,2.0
4.0,3,38,1,-34.6017255,-58.368762800000006,0.0
4.0,3,38,2,-34.6017255,-58.368762800000006,14.0
4.0,3,38,3,-34.6017255,-58.368762800000006,0.0
4.0,3,38,4,-34.6017255,-58.368762800000006,0.0
4.0,3,38,5,-34.6017255,-58.368762800000006,0.0
4.0,3,38,6,-34.6017255,-58.368762800000006,3.0
4.0,4,38,0,-34.6017255,-58.368762800000006,2.0
4.0,4,38,1,-34.6017255,-58.368762800000006,0.0
4.0,4,38,2,-34.6017255,-58.368762800000006,14.0
4.0,4,38,3,-34.6017255,-58.368762800000006,0.0
4.0,4,38,4,-34.6017255,-58.368762800000006,0.0
4.0,4,38,5,-34.6017255,-58.368762800000006,0.0
4.0,4,38,6,-34.6017255,-58.368762800000006,4.0
4.0,5,38,0,-34.6017255,-58.368762800000006,1.0
4.0,5,38,1,-34.6017255,-58.368762800000006,0.0
4.0,5,38,2,-34.6017255,-58.368762800000006,14.0
4.0,5,38,3,-34.6017255,-58.368762800000006,0.0
4.0,5,38,4,-34.6017255,-58.368762800000006,0.0
4.0,5,38,5,-34.6017255,-58.368762800000006,0.0
4.0,5,38,6,-34.6017255,-58.368762800000006,2.0
4.0,6,38,0,-34.6017255,-58.368762800000006,0.0
4.0,6,38,1,-34.6017255,-58.368762800000006,0.0
4.0,6,38,2,-34.6017255,-58.368762800000006,14.0
4.0,6,38,3,-34.6017255,-58.368762800000006,0.0
4.0,6,38,4,-34.6017255,-58.368762800000006,3.0
4.0,6,38,5,-34.6017255,-58.368762800000006,1.0
4.0,6,38,6,-34.6017255,-58.368762800000006,2.0
4.0,7,38,0,-34.6017255,-58.368762800000006,1.0
4.0,7,38,1,-34.6017255,-58.368762800000006,0.0
4.0,7,38,2,-34.6017255,-58.368762800000006,10.0
4.0,7,38,3,-34.6017255,-58.368762800000006,0.0
